visits,answers
1836,13
249,4
154,4
351,9
85,2
768,5
168,3
231,5
716,18
315,4
639,6
2108,10
92,1
483,8
90,4
925,7
186,4
777,12
273,5
218,9
381,7
550,7
1511,10
311,7
451,5
258,5
349,2
4188,121
1513,12
247,3
621,13
196,1
832,7
216,4
189,4
698,2
2423,19
309,9
146,4
87,2
220,3
295,2
238,6
315,6
84,1
240,3
534,8
74,1
466,3
526,9
390,9
75,2
125,1
337,6
211,4
136,5
44,3
114,4
83,3
179,6
250,6
82,4
108,3
148,3
757,9
163,4
103,1
752,5
117,1
350,6
340,9
294,4
53,1
402,7
202,4
134,7
419,7
76,2
80,2
4294,11
243,4
112,2
230,3
43,1
1567,13
95,3
529,1
946,3
145,3
71,3
120,2
1167,10
231,4
245,5
206,3
159,5
67,1
153,3
1082,17
480,14
545,4
326,9
670,10
276,8
154,4
383,5
123,7
208,4
420,9
5679,12
156,4
225,4
262,2
126,5
152,5
476,9
244,1
290,3
733,13
488,17
510,13
245,4
282,7
149,4
789,10
773,11
208,9
817,1
487,3
157,6
50,1
148,4
1377,5
393,11
149,3
505,8
271,8
68,3
207,4
291,7
251,3
144,5
131,5
245,3
312,6
93,2
88,2
168,4
910,9
188,1
159,2
1143,4
490,6
66,1
160,4
269,2
230,1
1031,18
2319,18
95,1
53,2
136,3
162,3
107,2
821,11
61,2
141,5
168,6
124,2
260,4
84,3
78,1
160,4
217,3
181,3
99,2
999,10
384,10
852,1
115,2
333,10
406,5
137,3
155,5
125,4
187,6
34,2
210,4
275,17
52,2
121,2
104,3
94,1
134,3
127,3
1328,9
114,1
158,7
168,5
145,4
679,10
186,12
67,4
329,5
386,4
128,3
123,4
560,6
702,11
949,7
220,2
361,7
1246,10
69,1
623,8
180,7
46,1
111,1
97,2
191,5
430,5
379,7
1016,2
175,2
597,4
168,4
89,2
126,3
320,5
110,2
104,3
187,3
124,2
34,1
541,4
42,1
66,1
301,5
307,6
244,2
135,4
314,4
81,1
493,4
44,2
278,4
2542,22
45,2
413,4
51,3
153,1
177,1
213,6
166,3
116,2
194,2
257,4
588,7
58,1
79,3
156,6
313,2
161,4
107,2
95,2
590,8
60,2
104,3
1179,11
127,4
1083,10
152,1
147,5
60,3
151,5
259,5
237,5
772,11
167,3
472,6
1075,8
438,8
1107,31
106,2
117,2
72,2
277,6
87,2
753,13
146,4
74,3
228,3
262,3
180,4
191,1
144,2
243,1
263,5
569,6
198,4
70,4
121,3
98,3
145,7
426,8
2938,11
81,1
285,5
62,3
108,3
240,4
192,3
73,1
56,1
278,5
146,3
514,10
125,3
227,3
101,3
152,2
105,1
61,1
955,5
71,3
174,3
344,5
51,3
82,1
177,2
160,3
92,4
82,3
74,1
94,1
355,8
264,5
213,3
726,11
211,3
2013,16
260,6
1431,5
19695,21
70,2
524,7
100,6
268,7
497,18
48,1
93,3
1069,14
120,3
392,1
659,4
239,3
344,7
367,3
199,5
68,1
108,1
69,1
157,8
56,3
1668,7
133,4
150,1
1379,14
150,3
73,2
94,3
277,7
116,3
39,1
184,6
58,3
60,0
197,8
129,5
242,4
67,1
42,2
25,1
125,4
155,3
65,1
458,7
198,4
316,3
122,2
1055,6
163,5
107,2
67,1
213,2
133,2
96,2
211,3
50,2
43,2
821,4
37,2
507,3
63,2
290,9
54,5
411,6
235,4
91,1
145,7
232,3
178,5
89,3
264,5
44,1
332,5
82,1
186,2
445,5
99,3
512,4
245,2
226,3
195,5
307,8
15180,33
279,9
150,2
63,1
196,4
73,1
475,3
42,1
