Score,QuestionId,AcceptedAnswerId,CreationDate
365,9134,9182,2008-11-20T13:00:50.040
205,7322,42763,2009-07-20T09:20:23.363
186,37328,37748,2010-01-28T17:58:41.853
184,15661,66241,2009-08-20T12:26:09.843
158,1409,54290,2009-07-01T07:03:40.877
148,7046,7054,2008-08-25T13:45:28.223
147,915,949,2009-06-30T00:54:34.393
139,11563,40886,2009-08-01T00:43:59.330
124,3294,3296,2009-07-07T17:48:41.590
118,2779,2782,2009-07-06T14:38:58.157
113,865,866,2009-06-29T20:41:13.423
111,1093,1210,2009-06-30T13:11:24.730
108,125,169,2009-06-28T12:56:49.383
106,747,1007,2009-06-29T17:39:02.537
105,135,2373,2009-06-28T13:15:51.477
103,88,898,2009-06-28T11:41:52.090
98,43004,43005,2010-03-20T08:40:25.240
97,104,119,2009-06-28T12:08:08.813
92,15143,15144,2009-08-18T12:26:47.873
90,1274,1441,2009-06-30T18:56:58.860
90,11474,11476,2008-08-18T13:31:45.323
87,41976,42143,2010-03-12T05:24:22.360
87,56817,60294,2010-07-13T00:29:45.150
86,1177,66238,2009-06-30T15:32:49.290
84,46920,47026,2010-04-16T23:37:17.793
77,34903,41397,2010-01-08T13:32:50.290
70,8790,8820,2009-03-30T18:23:17.763
69,1524,1526,2009-07-01T16:14:59.040
65,1170,15194,2009-06-30T15:14:25.497
64,3353,3354,2009-07-07T20:03:59.137
63,459,33939,2009-06-29T06:04:33.953
63,51947,57550,2010-06-01T13:08:47.073
61,11602,11604,2008-08-23T07:53:41.643
60,19018,19023,2009-08-31T09:37:04.380
60,24611,24618,2009-10-05T12:10:38.633
59,392,7183,2009-06-28T23:12:55.610
59,1326,1339,2009-06-30T22:45:03.367
58,14200,19840,2009-08-13T12:55:50.937
57,1,8,2009-06-28T07:14:29.363
57,1475,4525,2009-07-01T14:07:32.853
55,431,433,2009-06-29T02:00:50.653
55,35839,38234,2010-01-15T19:48:22.397
54,1413,49224,2009-07-01T07:19:48.467
54,17552,52585,2009-08-25T23:42:50.560
54,42904,42905,2010-03-19T18:54:56.937
53,5280,5283,2009-07-14T16:33:37.460
53,35501,36831,2010-01-13T20:20:13.223
52,8211,8212,2008-10-07T18:56:56.907
52,19938,19941,2009-09-03T17:09:44.237
52,53811,53812,2010-06-16T05:52:06.130
51,28642,28776,2009-11-05T02:06:16.570
51,53650,53733,2010-06-15T06:08:37.780
50,17204,17250,2009-08-25T07:23:22.523
50,48840,48870,2010-05-05T13:02:55.497
49,4508,5063,2009-07-11T18:23:13.577
49,28375,32216,2009-11-03T11:43:05.650
49,32311,32314,2009-12-08T17:17:23.157
48,12373,12374,2008-10-08T13:46:18.297
48,38090,44099,2010-02-03T12:55:33.103
48,61077,61120,2010-08-15T12:39:09.337
47,1125,1137,2009-06-30T13:54:10.557
47,2950,3021,2009-07-06T21:46:59.987
47,20477,20485,2009-04-01T07:12:11.323
47,43991,53253,2010-03-25T15:45:13.727
46,59445,59446,2010-08-03T12:44:34.060
45,623,1404,2009-06-29T13:49:25.443
45,20420,21198,2009-09-05T03:40:10.633
44,30187,30188,2009-11-18T10:38:20.647
44,31285,31442,2009-11-29T07:11:14.877
43,4553,4562,2009-07-12T09:17:07.457
43,40665,40668,2010-02-26T20:47:46.327
42,35264,35713,2010-01-12T12:45:57.430
41,40480,40484,2010-02-24T23:27:10.050
41,50523,51071,2010-05-19T20:34:44.087
40,19940,19942,2009-09-03T17:14:58.830
39,4565,4576,2009-07-12T11:01:52.577
39,40346,40361,2010-02-23T16:51:17.467
38,8162,8165,2009-07-22T16:11:48.160
38,30902,30904,2009-11-25T14:16:09.797
38,47994,48002,2010-04-27T13:45:11.203
37,1114,10655,2009-06-30T13:39:38.157
37,6254,6261,2008-09-18T00:37:04.953
37,22510,22512,2009-09-18T05:02:21.980
37,33398,42820,2009-12-19T06:10:51.857
37,53743,53761,2010-06-15T18:04:58.523
37,66443,66681,2010-10-02T16:41:11.540
36,25,29,2009-06-28T09:43:32.327
36,442,445,2009-06-29T02:56:45.200
36,2303,10660,2009-07-03T23:55:52.880
36,9652,9654,2009-07-25T19:35:09.323
36,30193,30295,2009-11-18T12:12:15.097
35,1010,1015,2009-06-30T10:27:39.740
35,2035,31344,2009-07-03T00:48:22.853
35,4916,13655,2009-07-13T20:55:43.060
35,5188,5189,2008-10-29T20:27:46.773
35,6662,10553,2009-07-17T18:45:15.610
35,12527,12528,2008-09-24T17:48:16.443
35,18005,39369,2009-08-27T04:11:37.760
35,34349,34351,2010-01-02T14:14:33.250
35,35443,35446,2010-01-13T14:04:22.510
35,40445,40501,2010-02-24T15:52:44.157
34,5460,42662,2009-07-15T05:20:23.443
34,9811,10130,2009-07-26T20:13:37.590
34,12421,12424,2008-10-09T03:08:49.193
34,13851,13863,2009-08-11T22:14:44.890
34,15775,15776,2008-08-26T00:57:53.880
34,28625,28647,2009-11-04T23:48:10.847
34,47324,47353,2010-04-21T02:26:38.543
34,47718,47719,2010-04-24T07:30:02.047
34,65838,65877,2010-09-27T18:29:12.083
34,68079,68207,2010-10-19T21:06:22.850
33,1662,1697,2009-07-02T00:39:51.477
33,2706,2729,2009-07-06T10:15:26.713
33,13065,57980,2009-08-07T09:36:25.700
33,27112,27846,2009-10-23T23:59:50.903
33,27614,28724,2009-10-28T19:14:16.970
33,48087,48238,2010-04-28T09:57:53.713
33,63387,63389,2010-09-03T18:24:16.693
